game,placed,died
1,4.799333333333333,6.465999999999999
1,7.3934500000000005,9.060116666666666
1,13.493766666666666,15.160433333333334
1,14.14735,15.814016666666667
1,16.780333333333335,18.447
1,19.929166666666667,21.595833333333335
1,25.0731,26.739766666666664
1,25.826183333333333,27.492849999999997
2,3.4345333333333334,5.1012
2,5.252350000000001,6.919016666666667
2,7.9625,9.629166666666666
2,10.962816666666667,12.629483333333333
2,26.960966666666664,28.627633333333332
4,10.376666666666667,12.043333333333333
4,10.575916666666666,12.242583333333332
4,15.468083333333334,17.13475
4,17.8753,19.541966666666667
4,21.465266666666665,23.131933333333333
4,23.214766666666666,24.881433333333334
5,3.681966666666667,5.348633333333334
5,5.025066666666667,6.6917333333333335
5,8.259016666666666,9.925683333333334
5,14.0383,15.704966666666667
5,17.2899,18.956566666666667
5,17.778983333333333,19.44565
5,24.557516666666668,26.224183333333333
5,24.978266666666666,26.64493333333333
5,28.636866666666666,30.303533333333334
6,2.5575666666666668,4.224233333333333
6,5.35265,7.019316666666667
6,8.024866666666666,9.691533333333332
6,13.037083333333333,14.703750000000001
6,14.9694,16.636066666666668
6,17.714366666666667,19.381033333333335
6,23.229866666666666,24.89653333333333
6,28.121283333333334,29.787950000000002
6,28.342049999999997,30.008716666666665
6,32.510149999999996,34.17681666666667
6,33.165416666666665,34.83208333333334
7,2.553733333333333,4.2204
7,8.408666666666667,10.075333333333333
7,8.8849,10.551566666666668
7,12.427616666666667,14.094283333333333
7,17.689083333333333,19.35575
7,18.350250000000003,20.016916666666667
7,22.894066666666667,24.560733333333335
7,26.578033333333334,28.2447
7,27.811950000000003,29.478616666666667
8,3.1872833333333332,4.85395
8,5.5008333333333335,7.1675
8,8.063616666666666,9.730283333333334
8,12.979016666666666,14.645683333333332
8,14.4804,16.147066666666667
8,20.068716666666667,21.735383333333335
8,20.323616666666666,21.99028333333333
8,23.226683333333334,24.89335
9,3.4807333333333332,5.1474
9,9.717016666666666,11.383683333333332
9,12.795,14.461666666666668
9,13.786100000000001,15.452766666666667
9,17.22625,18.892916666666668
9,19.22945,20.896116666666668
9,22.406533333333336,24.0732
9,25.1017,26.76836666666667
9,29.0346,30.701266666666665
9,32.07951666666666,33.746183333333335
9,32.56003333333334,34.2267
9,37.35215,39.018816666666666
9,38.19806666666667,39.864733333333334
10,5.65075,7.317416666666667
10,8.693516666666666,10.360183333333334
10,11.032683333333333,12.69935
10,14.374183333333333,16.04085
10,15.943116666666667,17.609783333333333
10,19.29126666666667,20.957933333333337
11,3.9204333333333334,5.5871
11,5.224866666666667,6.891533333333333
11,8.847933333333334,10.5146
11,11.710433333333333,13.3771
11,15.26925,16.935916666666667
11,18.911883333333332,20.57855
11,20.89385,22.56051666666667
11,23.695983333333334,25.36265
11,27.115583333333333,28.782249999999998
11,28.479466666666667,30.146133333333335
12,3.6563666666666665,5.323033333333333
12,8.601666666666667,10.268333333333334
12,11.5221,13.188766666666668
12,12.856183333333332,14.52285
12,15.460466666666667,17.127133333333333
12,18.67585,20.342516666666665
12,21.281983333333336,22.94865
12,24.220633333333335,25.8873
13,4.901583333333334,6.568250000000001
13,6.594033333333333,8.2607
13,14.986183333333335,16.65285
13,15.525966666666667,17.192633333333333
13,18.867083333333333,20.53375
14,5.1435,6.8101666666666665
14,8.172433333333334,9.8391
14,9.328683333333334,10.99535
14,14.3968,16.063466666666667
14,17.938166666666667,19.604833333333332
14,18.547183333333333,20.213849999999997
14,22.139333333333333,23.805999999999997
14,24.481749999999998,26.148416666666666
14,27.276733333333333,28.9434
14,29.846400000000003,31.513066666666667
14,32.24195,33.90861666666667
15,4.10965,5.776316666666667
15,7.4762,9.142866666666666
15,8.607883333333332,10.27455
15,13.753233333333332,15.4199
15,20.980933333333333,22.6476
15,21.2767,22.94336666666667
15,23.83556666666667,25.502233333333333
15,26.626233333333335,28.2929
15,28.99435,30.66101666666667
15,31.843916666666665,33.51058333333334
16,5.634216666666666,7.300883333333333
16,8.204766666666666,9.871433333333332
16,9.515083333333333,11.18175
16,13.310566666666666,14.977233333333334
16,16.401683333333335,18.068350000000002
16,20.292316666666668,21.958983333333332
16,23.197733333333336,24.8644
16,24.6423,26.308966666666667
16,28.723133333333333,30.389799999999997
17,5.542816666666667,7.209483333333334
17,6.5687999999999995,8.235466666666666
17,10.486816666666666,12.153483333333332
17,12.6246,14.291266666666667
17,15.922366666666667,17.589033333333337
17,22.19561666666667,23.862283333333334
17,22.246083333333335,23.912750000000003
18,4.317216666666667,5.983883333333334
18,8.4278,10.094466666666667
18,9.449816666666667,11.116483333333333
18,12.291366666666667,13.958033333333333
18,15.644966666666667,17.311633333333337
18,18.158716666666667,19.82538333333333
18,21.11703333333333,22.7837
19,2.5995166666666667,4.266183333333333
19,4.166933333333334,5.833600000000001
19,9.254166666666666,10.920833333333333
19,12.45425,14.120916666666666
19,15.58975,17.256416666666667
19,18.795749999999998,20.462416666666666
19,20.455383333333334,22.12205
19,25.12675,26.793416666666666
19,27.790683333333334,29.45735
20,2.0271166666666667,3.6937833333333336
20,5.3048166666666665,6.9714833333333335
20,8.4879,10.154566666666666
20,11.435433333333332,13.1021
20,17.338900000000002,19.005566666666667
20,17.795283333333334,19.46195
20,20.58415,22.250816666666665
