game,kill
2,14.904233333333334
2,23.11981666666667
2,25.711983333333333
4,16.339966666666665
5,2.8690166666666665
5,15.919583333333332
5,27.29265
6,4.2085333333333335
6,21.9559
7,4.518616666666667
7,21.80346666666667
8,4.694383333333334
8,18.338283333333333
8,21.639799999999997
9,3.6685333333333334
9,15.196366666666668
12,7.4845
14,4.01305
14,22.645866666666667
15,3.1341166666666664
15,15.298733333333333
15,18.69953333333333
15,19.588816666666666
15,25.606816666666667
16,3.52185
16,6.598216666666667
17,14.300199999999998
19,4.2539
19,11.475150000000001
19,13.058
19,21.145466666666668
20,19.33925
